password,strength,length,uppercase_count,lowercase_count,digit_count,special_count,has_uppercase,has_lowercase,has_digits,has_special,entropy,strength_label
abc46,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
ZsITS1hN1M,2,10,6,2,2,0,1,1,1,0,3.121928095,Medium
6HyuzaSm4E,2,10,3,5,2,0,1,1,1,0,3.321928095,Medium
1234567890,1,10,0,0,10,0,0,0,1,0,3.321928095,Weak
TV4J$rwK9lY1v&v,4,15,5,5,3,2,1,1,1,1,3.773557262,Very Strong
151515,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Pass9$,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
abc25,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Guard6$,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
abc35,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
SAFE50safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
PASS170pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
1@Hxy3oufLx,3,11,2,6,2,1,1,1,1,1,3.277613437,Strong
Pass4!,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
abc123,0,6,0,3,3,0,0,1,1,0,2.584962501,Very Weak
101010,0,6,0,0,6,0,0,0,1,0,1,Very Weak
abc6,0,4,0,3,1,0,0,1,1,0,2,Very Weak
PASS90pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
1111110,1,7,0,0,7,0,0,0,1,0,0.591672779,Weak
67gS&m19!2E2JQrG,4,16,5,3,6,2,1,1,1,1,3.875,Very Strong
YtB3KeeKB,2,9,5,3,1,0,1,1,1,0,2.503258335,Medium
Secure15#,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
abc40,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
abc18,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
SAFE40safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
aU2yxtapX,2,9,2,6,1,0,1,1,1,0,2.947702779,Medium
SVgY8B3tA,2,9,5,2,2,0,1,1,1,0,3.169925001,Medium
2e8SR#PlPa,3,10,4,3,2,1,1,1,1,1,3.121928095,Strong
PASS130pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
1tSX3a1PLWs88K5yjh,4,18,6,6,6,0,1,1,1,0,3.947702779,Very Strong
abc13,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
kFqp3gmESVn72H8,4,15,5,6,4,0,1,1,1,0,3.906890596,Very Strong
6crVcme@i8S,3,11,2,6,2,1,1,1,1,1,3.277613437,Strong
SECURE70secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
yqF14IH5Xb,2,10,4,3,3,0,1,1,1,0,3.321928095,Medium
GUARD50guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
itA3r2wc,2,8,1,5,2,0,1,1,1,0,3,Medium
fd2iP7QbRY,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
SAFE110safe,2,11,4,4,3,0,1,1,1,0,3.277613437,Medium
iS9rzErv8mWnvXX,4,15,5,8,2,0,1,1,1,0,3.506890596,Very Strong
123456789,0,9,0,0,9,0,0,0,1,0,3.169925001,Very Weak
SAFE120safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
sEw@kt8lP@29NR,4,14,4,5,3,2,1,1,1,1,3.664497779,Very Strong
434343,0,6,0,0,6,0,0,0,1,0,1,Very Weak
SECURE170secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
2KG@6FK94!A8xj,4,14,5,2,5,2,1,1,1,1,3.664497779,Very Strong
Secure11!,2,9,1,5,2,1,1,1,1,1,2.725480557,Medium
Us!KBQKftb1vgq,4,14,5,7,1,1,1,1,1,1,3.664497779,Very Strong
Pass10@,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
424242,0,6,0,0,6,0,0,0,1,0,1,Very Weak
GUARD100guard,2,13,5,5,3,0,1,1,1,0,3.546593564,Medium
Secure12%,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
abc23,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
8anP1M3L,2,8,3,2,3,0,1,1,1,0,3,Medium
abc16,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
abc8,0,4,0,3,1,0,0,1,1,0,2,Very Weak
0NtoZKXPb,2,9,5,3,1,0,1,1,1,0,3.169925001,Medium
Safe18!,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
Shield8@,2,8,1,5,1,1,1,1,1,1,3,Medium
SECURE40secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
*78hTDxfNMEtGkmijJ,4,18,7,8,2,1,1,1,1,1,4.169925001,Very Strong
666,0,3,0,0,3,0,0,0,1,0,0,Very Weak
5h@ht6YRNcq,3,11,3,5,2,1,1,1,1,1,3.277613437,Strong
SECURE190secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
SAFE140safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
4FLDjMr9M,2,9,5,2,2,0,1,1,1,0,2.947702779,Medium
GUARD80guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
a80jU0h3,2,8,1,3,4,0,1,1,1,0,2.75,Medium
PASS50pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
Ak0xp7uU,2,8,2,4,2,0,1,1,1,0,3,Medium
IDVj4%GqE%SdgnQy#z,4,18,7,7,1,3,1,1,1,1,4.05881389,Very Strong
123452,1,6,0,0,6,0,0,0,1,0,2.251629167,Weak
242424,0,6,0,0,6,0,0,0,1,0,1,Very Weak
1234567892,1,10,0,0,10,0,0,0,1,0,3.121928095,Weak
123456781,1,9,0,0,9,0,0,0,1,0,2.947702779,Weak
s0I9B0yvppFyAKjUw,4,17,6,8,3,0,1,1,1,0,3.734521665,Very Strong
1234567,0,7,0,0,7,0,0,0,1,0,2.807354922,Very Weak
SHIELD70shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
SHIELD160shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
252525,0,6,0,0,6,0,0,0,1,0,1,Very Weak
GUARD140guard,2,13,5,5,3,0,1,1,1,0,3.700439718,Medium
monkey,0,6,0,6,0,0,0,1,0,0,2.584962501,Very Weak
PASS20pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
131313,0,6,0,0,6,0,0,0,1,0,1,Very Weak
RcZBf43S,2,8,4,2,2,0,1,1,1,0,3,Medium
Pass18#,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
byq2d2UazpK2@Gn,4,15,3,8,3,1,1,1,1,1,3.589898095,Very Strong
SECURE120secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
VxoAVkE5T,2,9,5,3,1,0,1,1,1,0,2.947702779,Medium
Guard4$,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
Dt$Qug1hcMcIa$,4,14,4,7,1,2,1,1,1,1,3.521640636,Very Strong
MUnO34FpHe7y6UHY&v,4,18,8,5,4,1,1,1,1,1,3.947702779,Very Strong
Shield13@,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
SAFE20safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
Secure8@,2,8,1,5,1,1,1,1,1,1,2.75,Medium
SECURE100secure,2,15,6,6,3,0,1,1,1,0,3.506890596,Medium
Guard12!,2,8,1,4,2,1,1,1,1,1,3,Medium
NhSzll^SS9gX8Y*,4,15,6,5,2,2,1,1,1,1,3.456564762,Very Strong
Safe10%,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
W$@zAFtNBl5ObE4^,4,16,7,4,2,3,1,1,1,1,4,Very Strong
IfMhoRq7k*#xbwUK,4,16,5,8,1,2,1,1,1,1,4,Very Strong
h#uUcqOqbT*VNCJ,4,15,7,6,0,2,1,1,0,1,3.773557262,Very Strong
^r!j2Ib0Se^Zm7,4,14,3,5,3,3,1,1,1,1,3.664497779,Very Strong
Guard16@,2,8,1,4,2,1,1,1,1,1,3,Medium
SHIELD190shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
Safe19!,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
eH@5nayalU3l,3,12,2,7,2,1,1,1,1,1,3.251629167,Strong
Secure5#,2,8,1,5,1,1,1,1,1,1,2.75,Medium
Pass5@,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
abc14,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Secure13@,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
6zfTc0A3b9,2,10,2,4,4,0,1,1,1,0,3.321928095,Medium
PASS190pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
Guard19!,2,8,1,4,2,1,1,1,1,1,3,Medium
Safe14$,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
abc45,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
abc19,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
KFHhEjhg2,2,9,4,4,1,0,1,1,1,0,2.947702779,Medium
password,0,8,0,8,0,0,0,1,0,0,2.75,Very Weak
4scUA1Ekee2AGvM,4,15,6,6,3,0,1,1,1,0,3.640223929,Very Strong
3fvry8dpXC,2,10,2,6,2,0,1,1,1,0,3.321928095,Medium
abc17,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
mj9fzFcQtb,2,10,2,7,1,0,1,1,1,0,3.321928095,Medium
333333,0,6,0,0,6,0,0,0,1,0,0,Very Weak
Secure7#,2,8,1,5,1,1,1,1,1,1,2.75,Medium
abc9,0,4,0,3,1,0,0,1,1,0,2,Very Weak
0CY#i3WSixv,3,11,4,4,2,1,1,1,1,1,3.277613437,Strong
Safe16!,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
mH7lT8#fF4MS,3,12,5,3,3,1,1,1,1,1,3.584962501,Strong
8fx*O6SS60qcaWbH0,4,17,5,6,5,1,1,1,1,1,3.734521665,Very Strong
EkVR#ba7@0Z,3,11,4,3,2,2,1,1,1,1,3.459431619,Strong
i5aybfHE,2,8,2,5,1,0,1,1,1,0,3,Medium
abc38,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Shield14!,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
3Am08LGQEw1o1uX,4,15,6,4,5,0,1,1,1,0,3.773557262,Very Strong
191919,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Shield17%,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
SAFE160safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
Safe5@,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
